sample_name,2210018M11Rik,2310033P09Rik,4933431E20Rik,8030462N17Rik,Aasdh,Abhd17a,Acta1,Acta2,Akap9,Aldoc,Ankrd12,Anks1b,Apod,Apoe,Aqp4,Atp1a2,Bms1,C1qa,C1qb,C1qc,Calb2,Cald1,Car2,Cav1,Ccdc82,Cd300a,Cd74,Cdk12,Cldn10,Cldn5,Cnp,Coch,Cope,Crh,Crhbp,Crip1,Csf1r,Ctdspl2,Ctgf,Ctss,Cxcl10,Cxcl14,Cyr61,Dcn,Dirc2,Dkk3,Dnajc13,Dnajc28,E130012A19Rik,Egr3,Eif4h,Elavl1,Eltd1,Epha7,Esam,Exosc2,F3,Fam53c,Fcer1g,Fcgr3,Fign,Filip1l,Foxa1,Fxr2,Gja1,Gjb6,Gm18326,Gm2869,Gm32900,Gm3953,Gm5055,Gm5453,Gm5576,Gm5580,Gm561,Gm5865,Gm8019,Gm8129,Gm8994,Gpr37l1,Gsk3a,Gstm1,H2-K1,Hexb,Hist1h3b,Hn1,Htr3a,Htra1,Id3,Ifitm3,Igfbp2,Igfbp7,Igk,Ing4,Ino80,Ip6k1,Itm2a,Kdm5d,LOC105244931,LOC105245046,LOC105245097,LOC105245604,LOC105246107,LOC105246828,LOC105247154,Lars2,Ly6a,Ly6c1,Lyz2,Mag,Mal,Mbp,Mfge8,Mgp,Mir6240,Mobp,Mog,Mt1,Mt2,Myh11,Myl9,ND5,Ncr1,Nebl,Nlgn1,Notch4,Ntsr2,P2ry12,P2ry14,Pa2g4,Pde6a,Pdyn,Pf4,Pip5k1c,Pla2g7,Plp1,Pltp,Ppap2b,Ppp1r3c,Ppp4r4,Prdx6,Prr5,Ptgds,Pts,Qrfpr,Rapgefl1,Rasgrp1,Rbm10,Rhbdd2,Rhobtb2,Rnf2,Rnr1,Rplp1,Rps3a3,S100a1,S1pr1,Selplg,Sepp1,Slc1a3,Slc25a19,Slc2a1,Slc7a11,Slc7a4,Slc9a3r1,Slco1a4,Slco1c1,Snhg8,Snrnp200,Sod3,Sparc,Spp1,Srsf9,Tac1,Tac2,Taf13,Tagln,Tardbp,Tex35,Th,Thbs1,Tm4sf1,Tmem209,Tnrc6b,Tpm2,Tram1,Trf,Tyrobp,Vat1,Vim,Vtn,Wee1,Ythdc2,Zc3h12c,Zfp236,Zfp346,Zfp36,Zfp365,Zfp771,Zkscan1,Zmym1
F1S4_180108_302_F01,4.454812,2.8120587,3.342048,2.4706864,0.0,4.8840904,3.9954548,0.0,4.9372797,0.0,4.2987113,5.379017,0.0,0.0,0.0,4.276671,2.7626574,0.0,0.0,0.0,0.0,0.0,0.0,2.0039246,0.0,0.0,2.106616,1.6887021,0.0,0.0,0.0,0.0,5.7804694,0.0,0.0,0.0,0.0,4.7546663,0.0,0.0,0.0,0.0,0.0,0.0,4.6179185,4.834312,2.9679537,0.0,4.002808,5.227482,5.709927,4.059766,0.0,0.0,0.0,3.7546139,0.0,3.102791,0.0,1.6116993,0.0,0.0,0.0,3.2684777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33728048,0.0,0.0,3.120651,0.9572514,0.0,2.4706864,0.0,0.0,2.9471164,2.4706864,0.0,4.010108,0.0,6.1619153,0.0,0.9572514,0.0,0.0,4.1266837,4.1647854,0.0,3.5806952,0.0,3.449544,3.047214,2.9040926,0.0,2.2849202,0.0,0.0,2.710688,0.0,0.0,4.730189,0.0,0.0,0.0,0.0,0.0,0.0,3.102791,0.0,0.0,0.0,0.0,3.5806952,0.0,0.0,0.0,6.473931,0.0,0.0,4.730189,0.0,0.0,0.0,0.0,1.337084,0.0,0.0,0.0,5.2860155,0.0,0.0,2.62729,0.0,0.0,3.988047,3.3972397,0.0,0.0,4.5979176,4.421633,3.4870517,5.74261,2.4706864,4.052821,3.7639604,4.581623,6.2477636,4.5979176,0.33728048,0.0,0.0,0.0,0.0,0.0,3.7065246,0.0,0.0,6.086407,0.0,0.0,0.0,2.881866,4.087073,0.0,0.0,0.0,3.1723928,0.0,0.0,4.4070687,2.7370102,3.8945887,0.0,0.0,0.0,0.0,4.477855,2.7626574,0.0,3.1554413,0.0,0.0,0.0,0.0,0.0,3.7065246,3.791487,2.0039246,1.7601972,4.045828,0.0,5.9382415,3.8529136,4.421633,1.889468
F1S4_170426_016_G01,4.9342813,4.6372747,2.9650893,0.0,0.0,5.518865,3.938074,0.0,4.7177815,0.0,6.250486,5.7791333,0.0,2.2676983,0.0,3.6177003,1.9389989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3341165,0.0,0.0,2.6380367,0.0,0.0,0.0,5.134706,5.413709,0.43247804,0.0,0.0,0.0,4.5028806,0.0,0.0,0.0,0.43247804,4.2287874,0.0,4.4282417,4.5439787,0.43247804,0.0,3.674174,6.0512867,5.6826262,4.4020705,0.0,0.0,1.7697942,1.30978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8266602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43247804,0.0,2.4230633,1.4460787,0.0,1.30978,0.0,0.0,3.7276282,3.8028064,0.0,0.0,0.0,5.72941,0.0,0.0,0.0,0.0,0.0,3.916762,1.30978,4.4086776,2.1488514,4.96117,0.0,0.0,0.0,3.0454578,0.0,0.0,3.5578454,0.0,0.0,5.565499,0.0,0.0,0.0,0.0,0.0,4.5889688,0.0,0.0,0.0,0.0,0.0,3.8266602,0.0,0.0,0.0,6.473243,0.0,1.7697942,4.434679,0.0,0.0,0.0,0.0,0.43247804,1.4460787,0.0,0.0,4.8275566,0.0,0.0,0.0,0.0,0.0,2.0139506,0.43247804,0.0,0.0,0.0,0.0,3.9059334,5.6199093,3.0956588,4.6631365,2.2100394,5.5960917,6.1261363,5.1121497,0.0,3.6463356,0.0,0.0,0.0,0.0,3.740557,0.0,0.43247804,4.3887234,0.0,0.0,0.0,0.0,4.4282417,0.0,0.0,0.7333978,3.2538295,0.0,0.7333978,3.3719652,0.0,4.7463756,0.0,0.0,0.0,0.0,0.0,2.8148744,0.0,2.373909,0.0,0.0,0.0,0.0,0.0,0.0,4.8232155,1.4460787,0.0,3.9793816,0.0,4.836183,3.7906625,4.441075,4.212895
F1S4_180129_308_D01,5.199648,2.2182565,3.5031245,2.0219493,3.5031245,1.4531388,5.0148106,0.43572667,5.0949,0.43572667,5.4514103,5.543129,0.0,0.0,0.0,2.2182565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73820287,0.0,3.1044683,0.0,5.826081,5.702812,1.1582465,0.0,0.0,0.0,3.9040244,0.43572667,0.0,0.0,0.0,0.0,0.0,0.0,4.112012,4.8323665,0.0,2.275972,6.0108604,5.458414,4.3354573,0.0,0.0,2.0219493,3.5971916,0.0,0.43572667,0.0,0.0,0.0,0.0,0.0,2.9455352,0.0,0.0,0.0,0.0,0.0,0.0,0.43572667,0.0,0.0,0.43572667,3.9679909,1.7774535,0.0,3.054246,0.0,0.0,2.2182565,0.0,0.0,0.0,0.0,6.004143,0.0,0.0,0.0,0.0,0.0,4.237879,1.1582465,4.7878814,2.0219493,4.221984,0.0,3.8589876,0.0,2.52315,0.43572667,0.0,3.6120439,0.0,0.0,4.6824355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6845872,0.0,2.7905767,0.0,0.0,0.0,6.5817947,0.0,0.0,4.9277434,0.0,0.0,0.0,0.0,2.478362,0.0,0.0,0.0,4.189416,0.0,1.4531388,0.0,2.6845872,0.0,3.8474042,0.0,0.0,0.0,4.541534,4.1209145,3.8589876,5.0398717,0.43572667,4.2139406,2.8554688,3.8929539,7.0897927,5.3188257,0.970119,0.0,0.0,0.0,0.0,0.0,3.5971916,0.0,0.0,3.4525502,0.0,0.0,0.0,3.399281,3.2626998,0.0,0.0,0.0,4.2916007,0.0,0.0,3.978265,0.0,5.1374836,0.0,0.0,0.0,0.0,3.774936,3.323532,0.0,3.054246,0.0,0.0,0.0,0.0,0.0,1.1582465,3.6266787,1.5733138,3.7235315,0.43572667,0.0,5.208648,0.0,4.1030297,4.384305
F1S4_180130_332_F01,0.7537116,0.0,5.0368395,2.357207,0.0,4.8351765,4.8484936,0.0,5.5873694,4.8484936,5.807654,5.683679,0.0,2.5503163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3382013,0.44624618,0.0,4.7753277,0.0,0.0,0.0,0.0,6.2166176,0.7537116,0.0,0.0,0.0,4.6050577,0.0,0.0,0.0,0.44624618,0.0,0.0,4.1410365,4.2184763,4.621792,3.9106607,4.7167106,3.2262387,5.0441184,1.704655,0.0,0.0,0.0,1.1785762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2483253,0.0,0.0,0.44624618,0.0,0.0,0.0,0.0,0.0,0.44624618,0.0,3.8762846,1.5967684,0.0,2.5932822,0.0,0.0,2.2445893,4.780061,0.44624618,3.8526924,0.0,5.65062,0.0,0.0,0.0,0.0,0.0,3.5317497,0.44624618,0.0,0.0,4.037442,0.0,0.0,0.0,1.8020273,0.0,0.0,3.5641265,0.0,0.0,5.0441184,0.0,0.0,0.0,0.0,0.0,3.5799303,0.0,0.0,0.0,4.371706,0.0,5.8554955,2.7487657,0.0,0.0,6.3410172,0.0,0.0,1.3382013,2.5503163,3.4278104,0.0,0.0,0.7537116,0.0,2.3024828,0.0,3.3906162,4.5765295,1.704655,0.0,0.0,0.7537116,2.4090915,4.5531063,0.0,4.290347,4.3132005,3.8762846,4.5351715,3.887875,3.1568916,5.2645183,0.0,3.0294213,6.1694975,5.3745866,0.7537116,5.2760863,0.0,0.0,0.0,0.0,5.1375217,2.458416,0.0,6.0654144,0.0,0.0,0.0,2.357207,2.5932822,0.0,0.0,0.0,2.1176603,0.0,0.0,4.167522,0.0,4.167522,0.0,0.0,0.0,0.0,1.3382013,4.057093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9438946,2.7841327,4.6597824,3.5954878,0.0,0.0,5.281821,4.047316,4.7847714,4.2430115
F1S4_170426_012_B01,4.1506977,2.2287164,0.49319118,1.4321439,0.0,5.077567,3.7776856,0.0,4.8257627,0.0,4.7404084,6.321293,0.0,0.0,0.0,2.2287164,2.4713206,0.0,0.0,0.0,0.49319118,0.0,0.0,0.0,3.1213133,0.0,0.0,4.0991764,0.0,0.0,0.0,0.0,5.341549,0.82200956,0.0,0.0,0.0,4.0448556,0.0,0.0,0.0,0.0,0.0,0.0,3.792164,5.1392274,3.7776856,0.0,4.2279797,5.9172983,5.978875,3.2771955,0.0,0.0,0.0,1.2669854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3907769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2528446,1.4321439,0.0,2.157606,0.0,0.0,3.5493093,0.0,0.0,4.077801,0.0,5.8859134,0.49319118,0.49319118,0.0,0.0,0.0,0.0,1.2669854,3.4927635,0.0,4.557606,0.0,0.0,0.0,2.3573577,0.49319118,0.0,3.6861143,0.0,0.0,5.6079664,0.0,0.0,0.0,0.0,0.0,4.0991764,0.0,2.6664088,0.49319118,0.0,0.0,0.0,0.0,0.0,0.0,6.310925,0.0,0.0,5.2421303,0.0,0.0,0.0,0.0,1.9077338,0.0,0.49319118,0.0,4.5304985,0.0,0.0,0.0,0.0,0.49319118,4.56427,4.237233,0.0,0.0,4.671244,0.0,3.9991693,5.374578,2.9698231,1.6979495,4.130407,4.3827033,5.7331104,5.0655704,1.0690464,0.49319118,0.0,0.0,0.0,0.0,3.602828,0.0,0.0,5.1577415,0.0,0.0,0.0,2.4159617,3.7019703,0.0,0.0,0.0,2.6210876,0.0,0.49319118,0.0,0.0,4.640951,0.0,0.0,0.0,0.0,3.7629943,4.010788,0.0,3.6536274,0.0,0.0,0.0,0.0,0.0,1.8083328,0.0,4.010788,3.5853047,3.4120233,0.0,4.7292085,3.063441,2.7513187,4.077801
F1S4_170426_022_A01,4.6491094,2.7401211,4.683187,0.0,3.7223585,3.8402352,3.4343948,0.0,4.550293,0.0,5.0839624,6.0827966,0.0,0.0,0.0,3.6841042,3.6841042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0772374,0.0,0.0,4.603516,0.0,0.0,0.9370254,4.37769,5.825708,0.0,0.0,0.0,0.0,2.7401211,0.0,0.0,0.0,0.0,0.0,0.0,3.2911208,3.231618,1.277399,2.8356361,4.5393,4.8782444,4.897743,3.7347913,0.0,4.3841653,2.3824794,4.2158575,0.0,0.71045583,0.0,0.0,0.0,0.0,0.0,3.8622305,0.0,0.0,0.0,0.0,0.0,0.0,0.41703746,0.0,0.0,0.41703746,3.955628,1.5308741,0.0,1.277399,0.71045583,0.0,3.8512933,0.0,0.0,4.5281844,0.0,5.6901965,0.0,0.0,0.0,0.0,0.0,4.613829,1.4121463,4.6879616,0.0,4.231017,0.0,0.0,0.0,2.7729838,0.0,0.0,3.467221,0.0,0.0,5.459124,0.0,0.0,0.0,0.0,0.0,5.240888,0.0,3.4509428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5318007,0.0,4.808951,3.7830327,0.0,0.0,0.0,0.0,2.0447168,0.0,0.0,0.0,5.267922,0.0,0.0,0.0,0.0,0.0,4.176922,4.1689496,0.0,0.0,0.41703746,0.0,2.63451,6.1975665,4.0410423,2.1095378,3.231618,4.2385116,6.578186,4.774603,0.41703746,0.71045583,0.0,0.0,0.0,0.0,3.9654868,3.5298073,0.71045583,4.897743,0.0,0.0,0.0,0.0,3.0030055,0.0,0.0,0.0,4.119732,0.0,0.0,3.2716773,0.0,4.253334,0.0,0.0,0.0,0.0,0.0,3.1238303,0.0,2.670967,0.0,0.0,0.0,0.0,0.0,3.0772374,4.603516,3.8402352,2.2277913,1.1216246,0.0,5.5496297,3.2911208,3.4990036,3.8402352
F1S4_180130_334_B01,4.113838,3.0703592,3.1676412,0.0,0.0,4.7927136,5.053632,0.0,4.5837107,5.8095345,5.3014383,4.553258,0.0,0.0,0.0,0.0,0.5503824,0.0,0.0,0.0,0.0,0.0,0.0,0.5503824,2.7522786,0.0,2.4225721,2.028838,0.0,0.0,2.4225721,5.213549,5.837744,3.4602354,0.0,0.0,0.0,1.814403,0.0,0.0,0.0,0.0,0.0,0.0,4.521849,4.891137,2.6009526,3.9299862,1.541069,4.521849,5.9374485,3.9154644,0.0,0.0,0.0,4.6348677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2276065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.648831,1.687046,0.0,1.687046,0.0,0.0,2.6009526,0.0,0.0,4.710317,0.0,5.65,0.0,5.621192,0.0,0.0,0.0,4.761821,1.3700795,4.4643917,3.436904,3.2841787,0.0,0.0,0.0,3.4130151,0.0,0.0,3.2276065,0.0,0.0,5.1302934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0904408,2.2830954,0.0,0.0,6.1030526,0.0,0.0,4.160706,0.0,0.0,0.0,0.5503824,2.6009526,0.0,0.0,0.0,4.248325,0.0,0.0,0.0,0.0,0.0,0.0,5.637008,0.0,0.0,3.2562926,0.0,3.2562926,5.2754974,3.8551712,2.65398,3.548471,2.65398,5.9642,4.591181,1.1636968,2.9998145,0.0,0.0,0.0,0.0,2.1209624,3.8857722,0.0,4.4894214,0.0,0.0,0.0,2.3552635,2.6009526,0.0,0.0,0.0,4.7491913,0.0,0.0,3.791008,0.0,4.205475,0.0,0.0,0.0,0.0,3.569365,4.0129495,0.0,3.9443004,0.0,0.0,0.0,0.0,0.0,4.4894214,4.248325,0.5503824,2.8836863,0.9033399,0.0,5.0949483,2.6009526,5.164432,2.1209624
F1S4_170426_015_C01,5.0233054,3.10258,1.7849982,0.5356216,3.1339192,5.3835955,4.4709325,0.0,4.628075,0.0,5.3163233,5.5780897,0.0,0.0,0.0,3.471172,2.62127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9983113,0.0,0.0,4.377574,0.0,0.0,0.0,4.234352,5.3965235,0.0,0.0,0.0,0.0,1.7849982,0.0,0.0,0.0,2.323429,0.0,0.0,5.046357,1.9983113,4.159779,0.0,2.5125346,5.703753,5.7224708,4.6141286,0.0,0.0,0.0,3.951488,0.0,0.0,0.0,3.10258,0.0,0.0,0.0,2.7193327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8361053,1.5134884,0.0,1.9983113,0.0,0.0,3.6519825,2.929205,0.0,0.0,0.0,6.403478,0.0,0.0,0.0,0.0,4.1374097,3.2502909,0.5356216,4.3132796,1.1396037,4.254676,0.0,0.0,0.0,1.3439189,0.0,0.0,3.739895,0.0,0.0,5.446626,0.0,0.0,0.0,0.0,0.0,4.3227215,0.0,3.1339192,0.0,0.0,0.0,1.9983113,0.0,0.0,0.0,6.402304,0.0,4.5928383,4.5413227,0.0,0.0,0.0,0.0,2.390517,0.0,4.5488462,0.0,5.3965235,3.3789651,0.0,0.0,0.0,0.0,0.0,5.0044737,0.0,0.0,4.4125395,0.0,3.6880803,5.4092865,3.8206995,5.133592,2.8086324,2.5125346,5.8465667,5.146045,1.1396037,0.0,0.0,0.0,0.0,0.0,3.6880803,0.0,0.0,4.0671325,0.0,0.0,0.0,2.9663682,4.4545937,0.0,0.0,0.0,4.1260347,0.0,0.0,3.6880803,2.890607,5.2663865,0.0,0.0,0.0,0.0,4.294124,2.62127,0.0,3.9238665,0.0,0.0,0.0,0.0,0.0,3.3789651,2.8086324,4.2745943,3.866223,0.0,0.0,5.449676,4.254676,3.7565868,3.8050525
F1S4_161209_007_G01,4.997133,4.5245585,1.2383173,0.0,0.0,4.4122643,4.9107356,0.0,4.4270105,0.0,4.9591746,5.633593,0.0,0.0,0.0,1.0428715,3.5284863,0.0,0.0,0.0,0.4777553,0.0,0.0,4.5950403,3.1638148,0.0,0.0,5.2706094,0.0,0.0,0.0,4.5111923,4.5442786,1.0428715,0.0,0.0,0.0,3.4343128,0.0,0.0,0.0,0.0,0.0,0.0,5.42762,5.6552563,2.192978,0.0,3.1893702,6.293755,3.8871393,0.0,0.0,4.20685,0.0,1.401738,0.0,0.0,0.0,2.6723485,0.0,0.0,0.0,3.8487384,0.0,0.0,0.0,0.0,0.0,0.0,0.4777553,0.4777553,0.0,0.0,3.7238064,1.0428715,0.0,2.192978,0.4777553,0.0,4.441542,0.0,0.0,0.0,0.0,5.953261,0.4777553,0.0,0.0,0.0,0.0,4.327029,1.7748858,5.4222236,0.0,4.049094,0.0,4.5699816,0.0,3.4730527,0.0,0.0,3.8996189,0.0,0.0,5.469772,0.0,0.0,0.0,0.0,0.0,4.3430767,0.0,0.0,0.7997128,0.0,0.0,0.0,0.0,0.0,0.0,6.779771,0.0,0.0,3.971392,0.0,0.0,0.0,0.0,0.7997128,0.0,0.0,0.0,5.74144,0.0,0.0,0.0,0.0,0.0,0.4777553,0.0,0.0,0.0,0.0,0.0,4.1310797,6.30836,1.2383173,3.8617034,4.4487295,0.0,6.8085866,4.531175,0.0,0.0,0.0,0.0,0.0,0.0,4.3666754,0.4777553,0.0,5.416798,0.0,0.0,0.0,2.5365949,3.2142887,0.0,0.0,0.0,4.0597177,0.0,0.0,3.414365,6.385599,5.4409842,0.0,0.0,0.0,0.0,0.0,4.038357,3.5103476,3.414365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.414365,2.7137916,0.0,0.0,5.9010153,0.7997128,3.563805,3.2142887
F1S4_180130_330_D01,5.1057034,3.260287,3.0772789,0.0,0.0,5.3453293,4.851399,0.0,4.3329816,3.5330377,5.7075734,5.388556,0.0,0.0,0.0,0.0,3.3784516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4512172,0.0,0.0,2.5208426,0.0,0.0,3.867982,0.0,5.834791,0.0,0.0,0.0,0.0,4.2816267,0.0,0.0,0.0,0.0,0.0,0.0,4.762387,4.9292,1.1565261,0.0,3.3597019,3.6668956,6.157362,4.9487066,0.0,3.3211136,3.396856,3.6668956,2.9714603,2.9714603,0.43484125,0.0,3.5947516,0.0,0.0,3.707809,0.0,0.0,0.43484125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9431586,1.314688,0.0,2.0895567,0.0,0.0,3.6943564,2.8531044,0.0,3.1729636,0.0,5.7378607,0.0,4.539052,0.0,0.0,0.0,3.6528773,0.73689395,3.0772789,0.0,4.4603834,0.0,0.0,0.0,3.4672632,0.0,0.0,3.1955197,0.0,0.0,5.35567,0.0,0.0,0.0,0.0,0.0,4.695,0.0,0.0,0.0,3.7972276,0.0,4.9678397,0.0,0.0,0.0,6.239281,0.0,1.8636425,3.8565316,0.0,0.0,0.0,0.0,3.7471142,0.0,0.0,0.0,4.4666595,1.1565261,0.0,0.0,0.0,0.0,3.5947516,4.1869454,0.0,4.3401074,3.5796766,2.019773,4.7049093,5.0267158,3.6943564,0.9685618,1.314688,4.9292,6.238218,5.0856915,0.0,4.6065555,0.0,0.0,0.0,0.0,4.1618047,0.43484125,0.0,5.264168,0.0,0.0,0.0,2.6047993,0.0,0.0,0.0,0.0,3.6386595,0.0,0.0,2.8211894,1.6785426,4.66467,0.0,0.0,0.0,3.2809765,0.0,4.9525623,3.102072,4.0544014,0.0,0.0,0.43484125,0.0,0.0,0.0,0.0,3.5643706,0.9685618,4.3112946,0.0,5.324322,4.27407,4.979146,4.361185
F1S4_160108_013_B01,4.250971,3.0429788,3.5819433,2.1797864,0.0,4.7143383,4.8681216,0.0,3.842464,0.0,5.2469144,5.813367,0.0,1.1440275,0.0,2.1797864,3.6397603,0.0,0.0,0.0,0.0,0.0,0.0,0.5383215,0.5383215,0.0,0.0,0.0,3.3100235,0.0,1.790409,1.6636938,5.7196326,0.0,0.0,0.0,0.0,3.0429788,0.0,0.0,0.0,0.0,0.0,0.0,4.991734,4.347756,2.7710693,0.0,3.7629337,5.1525054,5.188961,0.8863501,0.0,0.0,0.0,4.2200093,0.0,3.887313,0.0,2.8967454,0.0,0.0,0.0,0.8863501,0.0,0.0,0.0,0.0,0.0,0.0,0.5383215,0.0,0.0,0.0,3.6397603,1.5185597,0.0,2.6272972,0.0,0.0,3.7462394,0.0,0.0,3.4992554,0.0,5.758637,0.0,0.0,0.0,0.0,0.0,3.3607929,2.396422,4.6884303,1.9028583,3.4551976,0.0,4.0855823,0.0,3.2565382,0.0,0.0,4.8844347,0.0,0.0,6.3619027,0.0,0.0,0.0,0.0,0.0,3.4091089,0.0,0.0,0.5383215,3.6208568,0.0,4.7941833,0.0,0.0,0.0,6.667154,0.0,2.1797864,4.7143383,0.0,0.0,0.0,0.0,2.6272972,0.0,2.0957196,0.0,5.200824,0.0,3.3607929,0.0,0.0,0.0,1.1440275,4.290816,0.0,0.0,0.0,4.8515377,4.7207117,5.2279673,4.010923,4.0855823,4.7207117,3.7793536,7.008177,5.0482454,1.9028583,3.7119908,0.0,0.0,0.0,0.0,3.9161325,0.0,0.0,4.58482,0.0,0.0,0.0,2.5185077,4.751983,0.0,0.0,0.0,3.6765275,0.0,0.0,3.0764241,0.0,4.2610817,0.0,0.0,0.0,0.0,0.0,3.6015892,0.0,0.0,0.0,0.0,0.0,0.5383215,0.0,0.0,4.926679,0.0,0.8863501,0.0,0.0,5.3366117,2.8967454,4.8790264,4.828989
F1S4_160108_010_G01,5.5913234,3.361679,3.1275775,0.5609673,2.6239607,5.344273,3.7985692,0.0,3.7287683,0.0,5.6951876,5.6244454,0.0,0.0,0.0,4.3139076,2.1428468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0593596,0.0,0.0,3.9966958,0.0,0.0,0.0,5.0449414,5.697714,0.0,0.0,0.0,0.0,3.4609444,0.0,0.0,0.0,0.0,0.0,0.0,1.1808374,5.005397,1.5606328,0.0,1.7073267,6.0259852,5.524599,4.893476,0.0,0.0,0.0,0.9181824,0.0,1.7073267,0.0,0.0,0.0,0.0,0.0,2.8213613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9181824,0.0,0.0,2.567858,0.5609673,0.0,1.8352287,0.0,0.0,2.445224,0.0,0.0,0.0,0.0,5.1849165,0.0,0.0,0.0,0.0,0.0,0.0,3.361679,3.6139836,0.5609673,3.9966958,0.0,2.1428468,0.0,2.9474242,0.0,0.0,4.138267,0.0,0.0,6.4808874,0.0,0.0,0.0,0.0,0.0,3.8478978,0.0,0.0,0.0,0.0,0.0,1.9486114,0.0,0.0,0.0,6.5434546,0.0,4.2832394,4.2408285,0.0,0.0,0.0,1.8352287,1.7073267,0.0,0.0,0.0,3.5071108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8794813,3.8478978,4.391369,6.7684746,1.9486114,4.2299385,4.4632587,0.0,6.8132896,4.0239716,0.0,0.0,0.0,0.0,0.0,0.0,3.4370365,1.3886584,0.5609673,5.7541246,0.0,0.0,0.0,3.2514632,1.8352287,0.0,0.0,0.0,4.101601,0.0,0.0,3.2219007,0.0,4.7801447,0.0,0.0,0.0,0.0,0.0,3.335243,0.0,3.8152838,0.0,0.0,0.0,0.0,0.0,5.1418676,2.865172,2.6239607,2.305421,3.863814,0.0,5.8961663,0.0,3.8317237,3.484294
F1S4_170426_014_H01,4.781886,0.0,0.81484306,3.5903563,0.0,3.7938998,2.2835803,0.0,5.084503,0.0,5.9432297,6.128138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3457556,0.0,0.0,0.0,3.1637344,0.0,0.0,4.7387733,5.225998,3.6075718,0.0,0.0,0.0,2.817518,0.0,0.0,0.0,0.0,0.0,0.0,0.81484306,6.226116,1.9870665,0.0,4.3700414,5.141318,5.4439936,0.0,0.0,0.0,0.0,4.075939,3.5903563,4.304222,0.0,0.0,0.0,0.0,0.0,4.1480694,0.0,0.0,0.0,0.0,0.0,0.0,0.48821834,0.0,0.0,0.0,3.7938998,0.48821834,0.0,1.2577909,0.0,0.0,4.097084,0.0,0.0,0.0,0.0,5.6296697,0.0,0.0,0.0,0.0,0.0,4.1774573,1.4223979,5.0883927,4.1480694,4.196581,0.0,0.0,0.0,2.779183,0.0,0.0,3.55501,0.0,0.0,5.2754984,0.0,0.0,0.0,0.0,0.0,4.7765975,0.0,0.0,0.0,3.8218389,0.0,3.3345108,0.0,0.0,0.0,6.6005807,0.0,3.1367702,3.779632,0.0,0.0,0.0,0.0,3.7204332,0.0,0.0,0.0,5.9316034,0.0,0.0,0.0,0.0,0.0,0.0,4.818143,0.0,0.0,0.0,4.6762843,5.2592688,5.3647637,3.624496,4.206007,3.1367702,4.771281,6.199636,4.9557424,0.0,0.0,0.0,0.0,0.0,0.0,5.3529153,0.0,0.48821834,5.4439936,0.0,0.0,0.0,2.0698352,0.0,3.5903563,0.0,0.0,3.3996258,0.0,0.0,3.3345108,0.0,3.5368571,0.0,0.0,0.0,0.0,0.0,3.4607584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.251849,0.0,4.5970173,0.0,0.0,5.2722735,4.251849,3.7204332,4.7164993
