sample_name,2210018M11Rik,2310033P09Rik,4933431E20Rik,8030462N17Rik,Aasdh,Abhd17a,Acta1,Acta2,Akap9,Aldoc,Ankrd12,Anks1b,Apod,Apoe,Aqp4,Atp1a2,Bms1,C1qa,C1qb,C1qc,Calb2,Cald1,Car2,Cav1,Ccdc82,Cd300a,Cd74,Cdk12,Cldn10,Cldn5,Cnp,Coch,Cope,Crh,Crhbp,Crip1,Csf1r,Ctdspl2,Ctgf,Ctss,Cxcl10,Cxcl14,Cyr61,Dcn,Dirc2,Dkk3,Dnajc13,Dnajc28,E130012A19Rik,Egr3,Eif4h,Elavl1,Eltd1,Epha7,Esam,Exosc2,F3,Fam53c,Fcer1g,Fcgr3,Fign,Filip1l,Foxa1,Fxr2,Gja1,Gjb6,Gm18326,Gm2869,Gm32900,Gm3953,Gm5055,Gm5453,Gm5576,Gm5580,Gm561,Gm5865,Gm8019,Gm8129,Gm8994,Gpr37l1,Gsk3a,Gstm1,H2-K1,Hexb,Hist1h3b,Hn1,Htr3a,Htra1,Id3,Ifitm3,Igfbp2,Igfbp7,Igk,Ing4,Ino80,Ip6k1,Itm2a,Kdm5d,LOC105244931,LOC105245046,LOC105245097,LOC105245604,LOC105246107,LOC105246828,LOC105247154,Lars2,Ly6a,Ly6c1,Lyz2,Mag,Mal,Mbp,Mfge8,Mgp,Mir6240,Mobp,Mog,Mt1,Mt2,Myh11,Myl9,ND5,Ncr1,Nebl,Nlgn1,Notch4,Ntsr2,P2ry12,P2ry14,Pa2g4,Pde6a,Pdyn,Pf4,Pip5k1c,Pla2g7,Plp1,Pltp,Ppap2b,Ppp1r3c,Ppp4r4,Prdx6,Prr5,Ptgds,Pts,Qrfpr,Rapgefl1,Rasgrp1,Rbm10,Rhbdd2,Rhobtb2,Rnf2,Rnr1,Rplp1,Rps3a3,S100a1,S1pr1,Selplg,Sepp1,Slc1a3,Slc25a19,Slc2a1,Slc7a11,Slc7a4,Slc9a3r1,Slco1a4,Slco1c1,Snhg8,Snrnp200,Sod3,Sparc,Spp1,Srsf9,Tac1,Tac2,Taf13,Tagln,Tardbp,Tex35,Th,Thbs1,Tm4sf1,Tmem209,Tnrc6b,Tpm2,Tram1,Trf,Tyrobp,Vat1,Vim,Vtn,Wee1,Ythdc2,Zc3h12c,Zfp236,Zfp346,Zfp36,Zfp365,Zfp771,Zkscan1,Zmym1
F1S4_161209_003_C01,2.5937924,4.7608514,1.018353,1.5123239,1.018353,5.610823,3.7299857,0.0,4.6821513,0.0,5.0981216,6.432602,0.0,0.0,0.0,3.5938163,2.7179377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2607193,0.0,0.0,0.0,0.0,5.2483053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6335647,5.7909155,3.7916946,0.0,4.690306,4.6403503,4.775874,1.5123239,0.0,3.6412964,0.0,0.6335647,0.0,3.686624,0.0,0.0,0.0,0.0,0.0,3.664217,0.0,0.0,1.6903869,0.0,0.0,0.0,0.6335647,0.0,0.0,0.0,3.2488554,0.6335647,0.0,2.6577904,0.0,0.6335647,4.2607193,0.0,0.0,0.0,0.0,5.457282,0.0,0.0,0.0,0.0,0.0,0.0,1.6903869,0.0,5.238965,5.366537,0.0,0.0,0.0,2.1926408,0.0,0.0,3.7509813,0.0,0.0,5.833235,0.0,0.0,0.0,0.0,0.0,3.9900749,0.0,0.0,0.0,0.0,0.0,2.7746718,0.0,0.0,0.0,6.780937,0.6335647,3.1777291,4.2095118,0.0,0.0,0.0,0.0,5.3200426,0.0,0.0,0.0,3.70854,5.210409,0.0,0.0,0.0,0.0,3.4072595,5.150729,0.0,0.0,4.037984,0.0,2.2867763,5.3582425,4.2481613,5.130017,0.0,4.3094316,7.0960646,5.5977993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9148607,0.0,2.7179377,0.0,0.0,0.0,3.6178381,3.491506,0.0,0.0,0.0,1.8414848,0.0,0.0,4.18289,0.0,4.3783207,0.0,0.0,0.0,0.0,0.0,2.8283594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5180817,4.522707,2.5254169,3.3775227,0.0,0.0,4.5417314,3.686624,4.037984,5.6520166
F1S4_161209_003_G01,4.4151917,3.047258,3.9104373,1.9960194,0.0,5.1544538,3.3801117,0.0,4.6131225,0.0,5.6112604,4.8611484,0.0,2.897142,0.0,4.1056695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1778522,5.246151,0.0,0.0,0.0,0.0,4.665133,0.0,0.0,0.0,0.0,0.0,0.0,5.4228544,2.5056713,4.67886,0.0,4.3222713,1.6869304,6.486236,4.798639,0.0,0.0,0.0,4.2126055,0.0,4.8225403,0.0,0.0,0.0,0.0,0.0,4.4500704,0.0,0.0,0.0,0.0,0.0,0.0,0.39824432,0.0,0.0,0.0,2.7828758,1.3699737,0.0,1.9960194,0.0,0.0,4.3479066,3.5197778,0.0,3.363317,0.0,5.463068,0.0,0.0,0.0,0.0,2.9237788,0.0,0.68229634,4.315758,0.39824432,5.376442,0.0,0.0,0.0,3.4903831,0.0,0.0,2.84164,0.0,0.0,5.111162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113699,0.0,0.0,0.0,0.0,0.0,6.0785475,0.0,1.4871471,3.9488873,0.0,3.6800258,0.0,0.39824432,2.9237788,0.0,0.0,0.0,5.047222,0.0,0.0,0.0,0.0,0.0,0.0,3.5197778,0.0,0.0,3.8805976,0.0,1.0841181,0.0,4.24117,5.0503616,4.8573537,4.905593,4.810661,5.0566106,0.0,0.0,0.0,0.0,0.0,0.0,2.975014,4.4670634,0.0,4.7145715,0.0,0.0,0.0,1.927236,2.5056713,0.0,0.0,0.0,1.3699737,0.0,0.0,0.0,0.0,5.0963054,0.0,0.0,0.0,0.0,0.0,4.0390024,0.0,3.818106,0.0,0.0,0.0,0.0,0.0,2.1778522,2.7204416,0.0,1.8533697,0.0,0.0,5.028177,3.2177224,4.6131225,3.4903831
F1S4_160108_011_C01,4.61668,4.881735,3.8880162,3.2049928,0.0,4.9969754,3.99545,0.40766582,4.9798217,0.40766582,5.2403316,6.229151,0.0,0.40766582,0.0,3.1417964,2.0852082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1030089,0.0,0.0,0.0,3.5327551,5.621515,0.0,0.0,0.0,0.0,3.407566,0.0,0.0,0.0,0.0,0.40766582,0.0,3.6307535,0.0,0.0,0.0,2.6087909,4.031822,5.6816053,4.9228644,0.0,0.0,0.0,5.017179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2450087,0.0,0.0,0.0,0.0,0.0,0.0,0.40766582,0.0,0.0,0.0,3.373657,1.6147115,0.0,1.6147115,0.40766582,0.0,3.7077274,3.4563668,0.0,0.0,0.0,5.819205,0.0,0.0,0.0,0.0,3.1417964,0.0,0.40766582,4.0228524,0.6964465,4.926521,0.0,2.0852082,0.0,1.6147115,0.0,0.0,3.60372,0.0,0.0,5.5159492,0.0,0.0,0.0,0.0,0.0,4.2831626,0.0,0.0,0.0,0.0,0.0,0.6964465,0.0,0.0,0.0,6.91083,0.0,3.744101,1.5092049,0.0,0.40766582,0.0,0.0,3.5327551,0.0,0.0,0.0,3.9084277,0.40766582,0.0,0.0,0.0,0.0,3.4563668,4.798183,0.0,0.0,4.631496,0.0,0.92024857,0.6964465,3.424099,5.02713,4.149618,4.621643,6.5146017,5.381836,0.40766582,0.0,0.0,0.0,0.0,0.0,0.92024857,3.0973315,0.40766582,4.7687054,0.0,0.0,0.0,3.5899243,3.8565955,0.0,0.0,0.0,4.601641,0.0,0.0,0.0,0.0,4.8740716,0.0,0.0,0.0,0.0,4.24782,3.7906282,0.0,3.682722,0.0,0.0,0.0,0.0,0.0,0.92024857,4.806448,0.40766582,3.2049928,0.0,0.0,5.118536,3.1417964,3.744101,2.950681
F1S4_160108_012_D01,3.895902,3.7667077,0.40340397,3.0386221,0.0,5.178427,1.0944858,0.0,4.563411,0.0,5.991514,5.685872,0.0,0.0,0.0,1.0944858,2.668381,0.0,0.0,0.0,0.0,0.40340397,0.0,4.0543537,3.1927307,0.0,0.0,4.1370373,0.0,0.0,3.271183,0.0,5.4010034,0.0,0.0,0.0,0.0,3.3784046,0.0,0.0,0.0,0.0,0.0,0.0,5.4661007,3.895902,2.559231,2.5200295,2.436691,3.1721165,5.4639974,2.2457495,0.0,0.0,0.0,3.129568,0.0,2.9898467,0.0,0.0,0.0,0.0,0.0,4.924719,0.0,0.0,0.40340397,0.0,0.0,0.0,0.40340397,0.0,0.0,0.0,0.0,1.604484,0.0,2.009535,0.40340397,0.0,3.9257512,4.318019,0.0,0.0,0.0,5.4681993,0.0,0.0,0.0,0.0,0.0,0.0,0.40340397,4.6573014,3.945167,4.861386,0.0,3.1927307,0.0,2.9119103,0.0,0.0,3.343926,0.40340397,0.0,5.7495656,0.0,0.0,0.0,0.0,0.0,4.291174,0.0,0.0,0.0,0.0,0.0,4.331176,0.0,0.0,0.40340397,6.2242975,0.0,3.0386221,4.400599,0.0,0.0,0.0,0.0,1.4992614,0.0,0.0,0.0,5.0011415,0.0,0.0,0.0,0.0,0.0,3.6048896,4.6573014,0.0,0.0,3.7667077,0.0,3.9547353,3.6828387,3.5349433,4.4127192,5.1207767,5.279574,5.8882236,4.8141356,0.0,0.0,0.0,0.0,0.0,2.2457495,1.6996813,4.8019657,0.40340397,4.716812,0.0,0.0,0.0,2.2970102,4.1985893,0.0,0.0,0.0,4.613924,0.0,0.0,3.8857508,0.0,5.192335,0.0,0.0,0.0,0.0,4.318019,0.0,0.0,3.8754957,0.0,0.0,0.0,0.0,0.0,3.1927307,1.604484,3.8754957,1.2483411,2.3457708,0.0,4.8221674,2.9898467,3.2327259,2.7667809
F1S4_160108_013_C01,2.9955034,4.5837083,4.038125,1.4269332,0.0,5.0667763,5.2251487,0.0,5.762754,0.0,5.121142,5.6667633,0.0,0.0,0.0,2.517475,3.6794355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08181,0.0,0.0,0.0,0.0,5.0343294,0.0,0.0,0.0,0.0,3.5426557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9019026,5.2586436,4.0924397,4.640299,0.0,0.0,0.0,1.5684252,0.0,3.6469543,0.0,0.0,0.0,0.0,0.0,3.4465747,0.0,0.0,0.8181757,0.0,0.0,0.0,0.49052948,0.0,0.49052948,0.49052948,3.8813279,0.8181757,0.0,2.4097242,0.0,0.0,3.4861217,0.49052948,0.0,4.351759,0.0,5.774622,0.0,0.0,0.0,0.0,0.0,0.0,1.0645529,5.0218854,0.0,3.2943695,0.0,0.0,0.0,2.2889457,0.0,0.0,3.0862567,0.0,0.0,5.6333585,0.0,0.0,0.0,0.0,0.0,2.7449064,0.0,4.509888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.054842,0.0,0.0,4.8639565,0.0,0.0,0.0,0.0,4.0268993,0.0,0.0,0.0,3.8943017,0.0,0.0,0.0,0.0,0.0,0.0,4.987923,0.0,0.0,5.4951506,3.6794355,5.4195576,0.0,0.0,1.6923562,2.517475,4.615542,7.0095596,5.1904926,0.8181757,0.0,0.0,0.0,0.0,0.0,0.0,0.49052948,0.0,3.95676,0.0,0.0,0.0,0.0,4.7930694,0.0,0.0,0.0,4.615542,0.0,0.0,4.873685,3.95676,4.577218,0.0,0.0,0.0,0.0,0.0,3.6633267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6600354,5.21143,0.0,0.0,1.0645529,0.0,4.5373664,3.0569112,0.0,3.6133826
F1S4_160108_013_G01,3.6349933,3.2111454,4.7576017,3.1619713,0.0,5.441301,0.0,0.0,4.812293,0.0,5.1871676,5.8314476,0.0,0.0,0.0,4.031625,1.8495069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0211577,0.0,0.0,0.0,0.0,0.0,3.3027842,0.0,5.2913036,0.0,0.0,0.0,0.0,4.579035,0.0,0.0,0.0,0.0,0.0,0.0,5.114767,4.031625,3.0272877,0.0,4.1415377,3.0272877,6.1153336,4.548011,0.0,0.0,0.0,3.3244393,0.0,3.6810277,0.0,0.0,0.0,0.0,0.0,3.2111454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.586737,0.466991,0.0,1.0244493,0.0,0.0,4.214509,4.093069,0.0,0.0,0.0,5.346682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.384023,0.0,5.17714,0.0,0.0,0.0,2.6026103,0.0,0.0,2.998029,0.0,0.0,5.508628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.903848,0.0,0.0,2.6457574,0.0,0.0,0.0,0.0,3.2348542,0.0,3.3027842,0.0,4.2405567,0.0,0.0,0.0,0.0,0.0,0.0,4.214509,0.0,0.0,3.4641638,0.0,3.445359,0.0,2.5102944,4.1415377,4.882356,3.553222,5.501367,4.2575526,0.7840724,2.9368105,0.0,0.0,0.0,0.0,2.998029,4.4417257,0.0,4.369062,0.0,0.0,0.0,1.9390109,4.683368,0.0,0.0,0.0,3.9548159,0.0,0.0,2.6871195,0.0,4.196759,0.0,0.0,0.0,0.0,4.2232676,3.9773698,0.0,3.500744,0.0,0.0,0.0,0.0,0.0,0.0,1.8495069,1.8495069,2.998029,3.9661565,0.0,5.6479664,4.2575526,2.6457574,2.2335157
F1S4_161209_009_A01,0.66143465,2.7726588,1.5582036,3.1570718,0.0,5.145386,4.946615,0.0,4.681047,0.0,3.6008039,6.241933,0.0,0.0,0.0,3.1961904,1.7383323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3389506,0.0,0.0,4.047501,0.0,4.7802477,0.0,0.0,0.0,0.0,4.992206,0.0,0.0,0.0,0.0,0.0,0.0,4.500578,4.8112416,2.5793386,0.0,4.1560225,3.6260788,5.7226377,5.0598965,0.0,4.141222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7726588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66143465,0.0,0.66143465,2.712278,1.3383403,0.0,2.8296003,0.0,0.0,3.6260788,0.0,0.0,0.0,0.0,5.78793,0.0,0.0,0.0,0.0,3.1163607,4.280206,0.66143465,4.3789706,0.0,5.139909,0.0,0.0,0.0,2.0232666,0.0,0.0,3.3051255,0.0,0.0,5.395405,0.0,0.0,0.0,0.0,0.0,4.7880864,0.0,0.0,0.66143465,4.3671455,0.0,0.0,0.0,0.0,0.0,5.9018536,0.0,2.0232666,4.436085,0.0,0.0,0.0,0.0,3.3389506,0.0,0.0,0.0,5.412278,4.141222,0.0,0.0,0.0,0.0,0.0,5.534205,0.0,0.0,4.500578,0.0,3.3051255,5.2733946,0.0,5.139909,0.0,5.7348304,5.959145,5.4411383,0.0,0.0,0.0,0.0,0.0,0.0,2.7726588,4.079727,0.0,4.6182837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7726588,0.0,0.0,0.0,0.0,4.8188424,0.0,0.0,0.0,0.0,0.0,4.5109334,0.0,2.5055945,0.0,0.0,0.0,0.0,0.0,2.6480157,5.0235434,0.0,2.712278,2.4259765,1.8909137,4.946615,3.721238,4.343067,4.2131267
F1S4_160108_005_F01,4.020817,3.393024,4.2423553,2.6963084,0.0,4.903978,2.9574523,0.0,4.857811,0.0,4.903978,5.89041,0.0,0.74478674,0.0,0.0,2.7682602,0.0,0.0,0.0,0.0,0.0,0.0,0.44018602,0.0,0.0,0.0,4.040462,0.0,0.0,0.0,3.9803288,5.2791734,0.0,0.0,0.0,0.0,4.304004,0.0,0.0,0.0,0.0,0.0,0.0,4.874847,4.0007777,2.7682602,0.0,4.542266,5.009007,6.120319,4.4815707,0.0,0.0,0.0,3.5153224,0.0,3.8712983,0.0,0.0,0.0,0.0,0.0,3.8712983,0.0,0.0,0.44018602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0879507,0.0,0.0,2.5347216,0.0,0.0,3.091672,0.0,0.0,0.44018602,0.0,5.4686055,0.0,0.0,0.0,2.9574523,2.2294703,0.44018602,0.9779457,4.304004,3.3157778,4.719857,0.0,2.1027856,0.0,2.9857762,0.0,0.0,4.57699,0.0,0.0,6.53674,0.0,0.0,0.0,0.0,0.0,4.616034,0.0,2.8023837,0.9779457,3.2747955,0.0,0.0,0.0,0.0,0.0,6.5806403,0.0,3.5790298,4.739388,0.0,0.0,0.0,0.0,3.695426,0.0,0.0,0.0,4.75379,0.0,0.0,0.0,0.44018602,0.0,2.9857762,4.4752936,0.0,0.0,4.15086,2.7682602,4.159532,5.860919,3.653349,4.944175,4.6376786,3.722525,7.0519447,4.5001693,0.0,2.8023837,0.0,0.0,0.0,0.0,3.5316339,3.653349,0.44018602,4.133286,0.0,0.0,0.0,0.44018602,4.133286,0.0,0.0,0.0,3.4472787,0.0,0.0,4.3830066,0.0,4.7957916,0.0,0.0,0.0,0.0,4.403512,4.777342,0.0,3.2320616,0.0,0.0,1.4627869,0.0,0.0,4.0108476,2.8353808,2.8023837,3.3742647,3.5943422,0.0,5.4847984,3.882752,3.7746143,3.2320616
F1S4_160108_008_F01,0.43090412,2.9325466,4.968018,0.73106706,0.0,5.4722924,3.723247,0.0,4.8231034,0.0,4.5103564,6.1644697,0.0,0.43090412,0.0,0.0,1.6694381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.903438,0.0,0.0,0.0,0.0,5.2917147,0.73106706,0.43090412,0.0,0.0,4.638055,0.0,0.0,0.0,0.0,0.0,0.0,3.7984173,6.354716,0.0,3.9850411,5.456323,4.527967,5.906126,4.1074243,0.0,0.0,0.0,3.4392729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6062818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43090412,0.43090412,1.9351566,1.3065041,0.0,1.5624586,0.0,0.0,4.167602,0.43090412,0.43090412,0.0,0.0,5.414049,0.0,0.0,0.0,0.0,0.0,0.0,1.1488591,3.6968799,0.43090412,5.7526736,0.0,4.562284,0.0,2.4189727,0.0,0.0,3.4898257,0.0,0.0,5.440095,0.0,0.0,0.0,0.0,0.0,5.4116473,0.0,0.0,0.73106706,0.0,0.0,2.2060435,0.0,0.0,0.0,5.8913517,0.0,1.5624586,4.906188,0.0,0.0,0.0,0.43090412,1.9351566,0.0,0.0,0.0,6.1461806,0.0,0.0,0.0,0.0,3.6133316,3.2904558,4.1249905,0.0,0.0,3.810414,0.0,3.6133316,4.975485,4.527967,4.6062818,4.7229543,5.139756,5.3393607,5.130243,0.43090412,0.0,0.0,0.0,0.0,0.0,4.1074243,4.7833376,0.0,5.369909,0.0,0.0,0.0,0.43090412,4.480298,2.5944264,0.0,0.0,3.091373,0.0,0.73106706,3.3297873,0.0,4.7084866,0.0,0.0,0.0,0.0,4.6275754,1.4426483,0.0,3.16223,0.0,0.0,0.0,0.0,0.0,0.0,3.6419637,2.0797446,0.96162504,2.903438,0.0,6.2011666,3.4218376,3.6834311,3.9545376
F1S4_161209_010_D01,3.7138312,3.7988086,2.782263,1.8650091,0.0,5.1784663,3.8644922,0.0,5.616815,0.0,5.7792296,4.9050894,0.0,2.9542146,0.47388455,1.6569989,2.662835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1210213,0.0,0.0,0.0,3.9019268,5.6849775,0.47388455,0.0,0.0,0.0,2.7440166,0.0,0.0,0.0,0.0,0.0,0.0,4.24137,4.521063,5.0816684,3.8644922,3.6370468,0.47388455,4.70706,3.8256018,0.0,4.6849165,0.0,0.79409736,0.0,0.79409736,0.0,0.0,0.0,0.0,0.0,3.7429667,0.0,0.0,0.0,0.0,0.0,0.47388455,0.0,0.0,0.0,0.0,3.0732272,1.0362632,0.0,2.0371127,0.0,0.0,1.2310683,0.0,0.0,3.5363746,0.0,5.420129,0.0,0.0,0.0,0.0,2.662835,2.2499332,1.3940413,4.679303,3.6684716,4.849686,0.0,0.0,0.0,2.6196308,0.0,0.0,3.3421538,0.0,0.0,5.2541227,0.0,0.0,0.0,0.0,0.0,3.6046026,0.0,3.1795702,0.47388455,3.2287812,0.0,3.6838212,0.0,0.0,0.0,6.597576,0.0,4.914032,4.8915234,0.0,4.24137,0.0,0.0,3.9140997,0.0,3.8771267,0.0,4.679303,3.6838212,0.0,0.0,0.0,0.0,0.0,4.868497,0.0,0.47388455,4.521063,3.6046026,3.8771267,0.0,3.6046026,4.7655406,3.7712772,3.1008916,6.3026066,4.540652,0.0,0.0,0.0,0.0,0.0,0.0,4.3169417,3.9019268,0.0,5.607959,0.0,0.0,0.0,0.0,1.5341387,0.0,0.0,0.0,4.356582,0.0,0.0,3.7429667,0.0,5.2822366,0.0,0.0,0.0,0.0,4.9050894,3.5363746,0.0,2.370201,0.0,0.0,0.0,0.0,0.0,1.0362632,2.662835,2.9221087,3.1008916,2.370201,0.0,5.632128,3.463148,4.7015696,3.4439719
F1S4_160108_002_B01,3.8237653,3.8593524,2.3415637,3.0658805,3.253304,5.1070333,3.8593524,0.44005534,4.9198866,0.44005534,3.835769,6.4692564,0.744594,0.0,0.0,4.0401015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7087092,0.0,0.0,0.0,4.1329246,5.6093774,0.0,0.0,2.732588,0.0,4.518065,0.0,0.0,0.0,0.0,0.0,0.0,4.5822988,4.530055,1.3254731,0.0,4.389526,5.1842895,5.654902,5.1103745,0.0,0.0,0.0,5.20877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.116131,0.0,0.0,0.0,0.0,0.0,0.0,0.44005534,0.0,0.44005534,0.0,3.0913215,1.4625049,0.0,2.2869322,0.0,0.0,2.9279554,3.163977,0.0,0.0,0.0,6.1101823,0.0,0.0,0.0,0.0,3.3739102,0.0,2.0325487,0.0,0.0,3.4815233,0.0,3.7354455,0.0,3.4469233,0.0,0.0,4.8995037,0.0,0.0,6.7879887,0.0,0.0,0.0,0.0,0.0,4.974844,0.0,0.0,0.44005534,0.0,0.0,0.0,0.0,0.0,0.0,6.7873654,0.0,3.0397756,3.4469233,0.0,1.3254731,0.0,0.0,2.8350353,0.0,0.0,0.0,4.9198866,0.0,0.0,0.0,0.0,0.0,1.7876072,4.1150365,0.0,0.0,3.4469233,4.2961407,3.915987,5.0449033,3.6672146,4.030327,4.7145505,6.0109134,6.7196546,5.004943,0.0,0.0,0.0,0.0,0.0,0.0,2.0325487,3.7485504,0.44005534,5.126914,0.0,0.0,0.0,2.8669777,2.1678076,0.0,0.0,0.0,4.3687367,0.0,0.0,3.0913215,0.0,4.5536118,0.0,0.0,0.0,0.0,0.44005534,4.481208,0.0,3.9799685,0.0,0.0,0.0,0.0,0.0,1.6905284,4.974844,2.8669777,1.3254731,0.0,0.0,5.1496196,4.699573,4.61567,4.1150365
F1S4_161209_003_D01,1.6853216,2.7408924,0.36423922,3.1717741,0.0,5.6270227,4.9437523,0.0,5.249071,0.0,4.303301,5.9102364,0.0,0.36423922,0.0,3.309269,2.9904683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5074823,0.0,0.0,0.0,0.0,5.737703,0.0,0.0,0.0,0.0,4.0240526,0.0,0.0,0.0,0.0,0.0,0.0,4.332581,0.0,2.027,0.0,3.7449133,5.347884,5.0728593,3.8715713,0.0,0.36423922,0.0,3.775598,0.0,3.3864965,0.0,0.0,0.0,0.0,0.0,1.4050988,0.0,0.0,0.0,0.0,0.0,0.0,0.84081495,0.0,0.0,0.0,3.3864965,1.7636349,0.0,2.3251083,0.0,0.0,4.008214,0.0,0.0,0.0,0.0,5.7176814,0.0,0.0,0.0,0.0,2.8734462,0.0,1.1622418,4.813471,3.7856207,5.056205,0.0,0.63065296,0.0,2.9452891,0.0,0.0,3.7552466,0.0,0.0,5.6046314,0.0,0.0,0.0,0.0,0.0,3.0123148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8053756,0.0,0.0,3.444253,0.0,0.0,0.0,0.0,3.843734,0.0,4.092377,0.0,1.5074823,0.0,0.0,0.0,0.0,0.0,1.2910247,5.196961,0.0,0.36423922,3.691582,4.4673557,4.6256223,0.0,0.0,4.784512,5.027816,5.426273,6.3143997,4.6126223,0.84081495,0.0,0.0,0.0,0.0,0.0,3.7024782,2.446343,0.36423922,0.36423922,0.36423922,0.0,0.0,2.6205394,2.9452891,0.0,0.0,0.0,4.2356973,0.0,0.0,3.2766266,0.0,3.6467695,0.0,0.0,0.0,0.0,3.6467695,3.967484,0.0,2.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5631645,0.0,0.0,5.673379,4.2228994,1.6853216,3.9921205
F1S4_161209_004_E01,4.9087954,3.911054,1.8910943,2.9738872,0.0,4.65484,4.8220778,0.0,5.549119,3.4815185,5.4811854,5.5686307,0.0,0.0,0.0,3.6262858,2.4587827,0.0,0.0,0.0,0.0,0.0,0.9887918,0.0,1.5970883,0.0,0.0,3.5155487,0.0,0.0,3.5155487,0.0,4.5415826,0.0,0.0,0.44639057,0.0,4.202173,0.0,0.0,0.0,0.0,0.0,0.0,4.741951,0.0,0.0,0.0,2.9447112,4.65484,5.2080626,2.4094563,0.0,0.0,0.0,3.7259738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244948,0.0,0.0,0.0,0.0,0.0,0.0,0.75392395,0.0,0.0,0.0,3.2487109,1.7049832,0.0,2.047943,0.0,0.0,2.7491412,0.0,0.0,0.0,0.0,5.992688,0.0,0.0,0.44639057,0.0,0.0,0.75392395,4.3721023,0.0,0.0,4.159166,0.75392395,3.4281986,0.0,2.8836744,0.0,0.0,3.3324816,0.0,0.0,5.08711,0.0,0.0,0.0,0.0,0.0,4.6812577,0.44639057,0.0,0.44639057,0.0,0.0,0.0,0.0,0.0,0.44639057,6.888732,0.0,0.44639057,3.7787724,0.0,0.0,0.0,0.44639057,2.4587827,0.0,0.0,0.0,4.9046335,0.0,0.0,0.0,0.0,0.0,0.0,5.4694004,0.0,0.0,3.7658317,4.218871,3.5155487,3.7915478,3.7787724,4.9004545,4.3060365,5.2293873,5.7216225,5.0445166,0.44639057,0.0,0.0,0.0,0.0,0.0,0.0,0.9887918,0.0,4.789858,0.0,0.0,0.0,3.532139,0.44639057,0.0,0.44639057,0.0,3.7915478,0.0,0.0,2.9738872,0.0,4.4861073,0.0,0.0,0.0,0.0,4.6707745,3.6111975,0.0,5.2383885,0.0,0.0,0.0,0.0,1.7049832,0.0,3.1330478,1.8023622,2.8836744,3.6262858,0.0,5.981385,2.244948,3.9442878,3.002236
