sample_name,2210018M11Rik,2310033P09Rik,4933431E20Rik,8030462N17Rik,Aasdh,Abhd17a,Acta1,Acta2,Akap9,Aldoc,Ankrd12,Anks1b,Apod,Apoe,Aqp4,Atp1a2,Bms1,C1qa,C1qb,C1qc,Calb2,Cald1,Car2,Cav1,Ccdc82,Cd300a,Cd74,Cdk12,Cldn10,Cldn5,Cnp,Coch,Cope,Crh,Crhbp,Crip1,Csf1r,Ctdspl2,Ctgf,Ctss,Cxcl10,Cxcl14,Cyr61,Dcn,Dirc2,Dkk3,Dnajc13,Dnajc28,E130012A19Rik,Egr3,Eif4h,Elavl1,Eltd1,Epha7,Esam,Exosc2,F3,Fam53c,Fcer1g,Fcgr3,Fign,Filip1l,Foxa1,Fxr2,Gja1,Gjb6,Gm18326,Gm2869,Gm32900,Gm3953,Gm5055,Gm5453,Gm5576,Gm5580,Gm561,Gm5865,Gm8019,Gm8129,Gm8994,Gpr37l1,Gsk3a,Gstm1,H2-K1,Hexb,Hist1h3b,Hn1,Htr3a,Htra1,Id3,Ifitm3,Igfbp2,Igfbp7,Igk,Ing4,Ino80,Ip6k1,Itm2a,Kdm5d,LOC105244931,LOC105245046,LOC105245097,LOC105245604,LOC105246107,LOC105246828,LOC105247154,Lars2,Ly6a,Ly6c1,Lyz2,Mag,Mal,Mbp,Mfge8,Mgp,Mir6240,Mobp,Mog,Mt1,Mt2,Myh11,Myl9,ND5,Ncr1,Nebl,Nlgn1,Notch4,Ntsr2,P2ry12,P2ry14,Pa2g4,Pde6a,Pdyn,Pf4,Pip5k1c,Pla2g7,Plp1,Pltp,Ppap2b,Ppp1r3c,Ppp4r4,Prdx6,Prr5,Ptgds,Pts,Qrfpr,Rapgefl1,Rasgrp1,Rbm10,Rhbdd2,Rhobtb2,Rnf2,Rnr1,Rplp1,Rps3a3,S100a1,S1pr1,Selplg,Sepp1,Slc1a3,Slc25a19,Slc2a1,Slc7a11,Slc7a4,Slc9a3r1,Slco1a4,Slco1c1,Snhg8,Snrnp200,Sod3,Sparc,Spp1,Srsf9,Tac1,Tac2,Taf13,Tagln,Tardbp,Tex35,Th,Thbs1,Tm4sf1,Tmem209,Tnrc6b,Tpm2,Tram1,Trf,Tyrobp,Vat1,Vim,Vtn,Wee1,Ythdc2,Zc3h12c,Zfp236,Zfp346,Zfp36,Zfp365,Zfp771,Zkscan1,Zmym1
F1S4_160108_009_G01,0.0,3.869754,0.5371187,0.5371187,3.137369,4.6176996,3.040225,0.0,4.631646,0.0,5.5709124,5.8981333,0.0,0.0,0.0,0.0,3.9819064,0.5371187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0014296,0.0,0.0,0.0,0.0,5.2402773,0.0,0.0,0.0,0.0,0.5371187,0.0,0.0,0.0,0.0,0.0,0.0,4.6855655,0.0,0.0,0.0,0.0,5.8315635,5.663905,5.2772627,0.0,4.1064353,2.0014296,3.9132984,0.0,5.0032916,0.0,0.0,0.0,0.0,0.0,3.1060245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371187,0.5371187,2.6246145,0.8846512,0.0,2.8940136,0.0,0.0,3.4063127,4.0946574,0.0,0.0,0.0,5.319912,0.0,0.0,0.0,0.0,0.0,0.0,1.7880003,3.9132984,0.8846512,4.645401,3.9413087,0.0,0.0,0.8846512,0.0,0.0,2.4566824,0.0,0.0,5.6906767,0.0,0.0,0.0,0.0,0.0,4.2682405,0.0,0.0,0.0,0.0,0.0,2.0931838,0.0,0.0,0.0,6.576133,0.0,3.5791318,4.033593,0.0,0.0,0.0,0.0,2.3266828,0.0,0.0,0.0,2.8940136,0.0,0.0,0.0,4.1852107,0.0,0.0,3.4746666,0.0,3.5386457,4.2781506,0.0,3.5590937,3.6915965,0.8846512,5.026888,0.0,2.4566824,6.2782965,5.1496305,0.0,0.0,0.0,0.0,0.0,0.0,1.346586,5.973299,0.0,0.0,0.0,0.0,0.0,3.5386457,3.9819064,0.0,0.0,0.0,3.6369443,0.0,0.0,5.2515173,0.0,5.661435,0.0,0.0,0.0,0.0,0.0,1.7880003,0.0,0.5371187,0.0,0.0,0.0,0.0,0.0,0.5371187,0.0,3.673709,3.8844805,0.0,0.0,4.372199,2.3266828,0.5371187,0.8846512
F1S4_160108_004_B01,4.438237,4.3120136,1.7374854,2.8365092,0.0,5.4254947,4.0922165,0.0,3.347417,0.0,3.6839244,5.622681,0.0,0.0,0.0,1.100948,1.6122401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8047576,0.0,0.0,0.0,0.0,4.631703,0.0,0.0,0.0,0.0,0.0,0.0,4.6052976,2.2003376,2.3385382,0.0,2.7964954,6.387565,5.377219,4.157108,0.0,0.84930015,0.0,2.1233454,0.0,4.167525,0.0,0.0,0.0,0.0,0.0,4.724941,0.0,0.0,0.51222765,0.0,0.0,0.0,0.51222765,0.0,0.0,0.0,2.7548137,1.8487761,0.0,2.4599376,0.0,0.0,3.347417,0.0,0.0,0.0,0.0,5.526281,0.0,0.0,0.0,0.0,0.0,0.0,1.3018306,0.0,0.84930015,4.821063,0.0,4.3120136,0.0,2.4599376,0.0,0.0,3.9220996,0.0,0.0,5.9874287,0.0,0.0,0.0,0.0,0.0,4.799263,0.0,0.0,0.51222765,0.0,0.0,0.0,0.0,0.0,0.0,6.334404,0.0,1.4690316,4.6510587,0.0,0.0,0.0,0.0,1.9489121,0.51222765,0.0,0.0,4.893824,0.0,0.0,0.0,0.0,0.0,5.583218,4.329793,0.0,0.0,0.0,0.0,1.4690316,6.2398643,0.0,4.6119647,0.51222765,3.195205,6.318853,5.220228,0.0,0.0,0.0,0.0,0.0,0.0,3.716988,0.0,0.51222765,0.0,0.0,0.0,0.0,3.5587497,4.4693694,0.0,0.0,0.0,4.3472614,0.0,0.0,3.8815506,0.0,4.893824,0.0,0.0,0.0,0.0,0.0,0.51222765,0.0,4.2375574,0.0,0.0,0.0,0.0,0.0,0.84930015,3.1388435,0.0,2.5155237,0.0,0.0,6.0024295,0.0,3.3934076,0.0
F1S4_160108_009_F01,3.5357544,3.1162043,0.83581877,2.8142357,0.0,5.7218237,4.4535985,0.0,5.057206,0.0,4.091032,5.53157,0.0,3.8855686,0.0,0.0,1.9286417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5165343,0.0,0.0,1.59333,0.0,0.0,0.0,0.0,6.0303917,0.0,0.0,0.0,0.0,3.3705351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5028041,3.6775076,0.0,4.9239902,6.6100945,4.97492,5.006029,0.0,0.0,0.0,3.801639,0.0,0.5028041,0.0,0.0,0.0,3.3478227,0.0,0.83581877,0.5028041,0.0,0.0,0.0,0.0,0.5028041,0.5028041,0.5028041,0.0,0.5028041,2.3171697,1.2846502,0.0,2.3171697,0.0,0.0,4.4611726,0.0,0.0,0.0,0.0,5.788028,0.0,0.0,0.0,0.0,3.456553,0.0,1.2846502,4.3908477,0.0,4.88525,0.0,0.0,0.0,2.019361,0.0,0.0,3.6775076,0.0,0.0,5.7920237,0.0,0.0,0.0,0.0,0.0,3.9250314,0.0,0.0,0.0,4.775783,0.0,0.0,0.0,0.0,0.0,6.3526096,0.0,0.0,4.498205,0.0,3.1725087,0.0,0.0,2.4383054,0.0,0.0,0.0,4.0577073,0.0,0.0,0.0,0.0,0.0,4.601724,4.4761505,0.0,0.0,5.559631,5.249504,2.7742794,2.3171697,4.1338053,4.3908477,3.1725087,6.3237405,6.566024,5.3254404,0.83581877,0.0,0.0,0.0,0.0,0.0,3.8161256,3.756876,0.83581877,4.154525,0.0,0.0,0.0,3.6091409,3.1995149,0.0,0.0,0.0,4.1232824,0.0,0.0,0.0,0.0,3.9120493,0.0,0.0,0.0,0.0,0.0,4.23336,0.0,4.4535985,0.0,0.0,0.0,0.0,0.0,4.011472,4.4535985,3.1447525,2.3795705,0.0,0.0,5.945168,3.3245823,4.0800467,4.983907
F1S4_160108_011_C01,4.5606413,3.8058631,4.1667213,0.0,0.0,5.7105317,3.8326607,0.47661403,3.8193517,0.0,5.3664594,5.509698,0.0,0.0,0.0,3.7783275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1903064,0.0,0.0,3.32744,0.0,0.0,0.0,0.0,5.7145667,0.0,0.0,0.0,0.7980581,3.391105,0.0,0.0,0.0,0.0,2.3767447,0.0,4.2994976,4.6808066,0.0,0.0,3.1347122,6.564292,5.0543714,4.8181257,0.0,0.0,0.0,1.5398027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47661403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2361825,1.2361825,0.0,2.3183773,0.0,0.0,3.235712,0.0,0.0,0.0,0.0,5.9146376,0.0,0.0,0.0,0.0,0.0,0.0,1.0409249,3.6279798,0.0,4.9167333,4.534773,0.0,0.0,2.5811431,0.0,0.0,3.08011,0.0,0.0,5.103785,0.0,0.0,0.0,0.0,0.0,2.0433905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.615472,0.0,3.1864867,4.3159404,0.0,0.0,0.0,0.0,1.2361825,0.0,0.0,0.0,5.0146265,0.0,0.0,0.0,0.0,0.0,4.8181257,4.730503,0.0,0.0,3.5949938,0.0,3.5433807,3.7642698,0.0,4.3714495,1.2361825,5.0774813,6.308698,5.225829,0.47661403,0.0,0.0,0.0,0.0,0.0,1.3994718,0.0,0.0,3.235712,0.0,0.0,0.0,3.5780838,0.0,0.0,0.0,0.0,4.2484827,0.0,0.0,0.0,0.0,5.1544037,0.0,0.0,0.0,0.0,3.659912,0.0,0.0,3.9450858,0.0,0.0,0.0,0.0,0.0,0.0,0.47661403,3.79219,3.79219,0.47661403,0.0,5.046548,3.2594447,4.861582,1.5398027
F1S4_160108_005_B01,2.8536918,3.5354097,3.4234595,1.765579,0.0,4.408583,2.7033222,0.0,3.44301,3.2973778,4.3556013,6.082806,0.0,2.310979,0.0,0.0,2.2490442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8886302,0.0,0.0,2.0362487,0.0,5.391938,0.0,0.0,0.0,0.0,1.0356221,0.0,0.0,0.0,0.0,2.424407,0.0,0.0,0.0,1.6561948,3.5176003,3.043829,5.909742,5.6526136,2.476635,0.0,0.0,0.0,3.4994678,0.0,3.2278268,0.0,0.0,0.0,0.0,0.0,1.0356221,0.0,0.0,0.0,0.0,0.0,0.0,0.79355294,0.4735096,0.0,0.4735096,2.2490442,1.2303648,0.0,2.743087,0.4735096,0.0,3.8113232,0.0,0.0,0.0,0.0,5.2750683,0.0,0.0,0.0,0.0,2.2490442,0.0,1.765579,4.2048793,1.5333593,3.7841663,0.0,3.341195,0.0,2.310979,0.0,0.0,4.1001725,0.0,0.0,5.6289644,0.0,0.0,0.0,0.0,0.0,3.2035248,0.0,0.0,0.0,0.0,0.0,0.4735096,0.0,0.0,0.0,6.5629573,0.0,3.900953,4.2830772,0.0,0.0,0.0,0.0,2.984378,0.0,0.0,0.0,4.401184,0.0,0.0,0.0,0.0,0.0,3.0722795,4.608381,0.0,0.0,3.2515519,0.0,2.2490442,5.3115854,2.6619105,4.759378,3.5529077,4.0696054,6.629916,5.4663115,0.4735096,0.0,0.0,0.0,0.0,0.0,0.79355294,5.4840717,0.0,0.4735096,0.0,0.0,0.0,3.383173,3.5529077,0.0,0.0,0.4735096,5.2904463,0.0,0.0,5.5957866,0.0,4.539669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6187093,0.0,0.0,0.0,0.0,0.0,0.0,2.7813308,1.2303648,3.043829,0.0,0.0,4.8439417,1.2303648,2.6187093,0.0
F1S4_160108_010_B01,3.3309813,2.6188328,4.2143655,0.0,0.0,4.6664453,4.128014,0.70189685,4.8614745,0.0,5.392622,6.077674,0.0,0.0,0.0,0.4113067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.448035,0.0,0.0,0.0,0.0,5.680324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1681914,0.70189685,0.0,0.0,3.929101,7.25447,6.0869656,3.6004624,0.0,0.0,0.0,4.11148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.960953,0.0,0.0,0.0,0.0,0.0,0.0,0.4113067,0.0,0.9267812,0.0,3.7897873,1.1102616,0.0,1.5176551,0.0,0.0,3.528453,4.973129,0.0,0.0,0.0,6.085809,0.0,0.0,0.0,0.0,0.0,0.0,1.2652392,0.0,0.70189685,4.77945,4.191545,0.0,0.0,2.5008898,0.0,0.0,4.3279905,0.0,0.0,5.847788,0.0,0.0,0.0,0.0,0.0,3.6676328,0.0,3.8125243,0.0,3.0370054,0.0,0.0,0.0,0.0,0.0,6.5677648,0.0,0.0,0.70189685,0.0,0.0,0.0,0.0,3.2554243,0.0,0.0,0.0,4.796402,3.919047,0.0,0.0,0.0,0.0,2.3182797,5.328078,0.0,0.0,3.7782218,0.0,3.5578818,0.0,2.8786368,4.448035,0.0,4.5711184,6.836875,4.940922,0.4113067,0.0,0.0,0.0,0.0,0.0,4.380302,4.5658402,0.0,4.4539704,0.0,0.0,0.0,4.483133,3.929101,0.0,0.0,0.0,2.5810432,0.0,0.0,4.2068167,0.0,4.6759706,0.0,0.0,0.0,0.0,0.0,3.9779077,0.0,0.4113067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.680542,3.5134075,0.0,0.0,4.837566,3.3126204,0.0,2.5810432
F1S4_160108_012_H01,3.7717907,4.9580417,0.49084657,0.0,0.0,3.8005373,5.155405,0.0,4.8400235,4.694668,5.332487,5.6521277,0.0,4.0048647,0.0,4.4824424,3.8821287,0.0,0.0,0.0,0.0,1.0650886,0.0,4.267465,0.49084657,0.0,0.0,2.660796,0.0,0.0,0.0,0.81863266,5.7635694,1.2626553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2312875,5.071572,0.0,1.0650886,0.0,3.8284807,5.45618,5.519098,5.2495255,0.0,4.489581,0.49084657,1.2626553,0.0,1.2626553,0.0,0.0,0.0,0.0,0.0,3.3632443,0.0,0.0,0.0,0.0,0.0,0.0,0.49084657,0.0,0.0,0.0,4.0277023,1.6930234,0.0,2.5680428,0.0,0.0,2.860838,3.295157,0.0,0.0,0.0,5.8834333,0.0,0.0,0.0,0.0,0.0,0.0,1.4275547,3.4269898,4.240455,4.849995,0.0,0.0,0.0,1.803291,0.0,0.0,2.6154943,0.0,0.0,5.2461934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2470453,0.0,0.0,0.0,2.5182266,2.9962802,0.0,0.0,6.2611127,0.0,4.8450217,4.9309616,0.0,0.0,0.0,0.0,2.7855525,0.0,5.07949,0.0,4.1141696,2.8239036,0.0,0.0,0.0,0.0,4.5449286,5.1948256,0.0,0.0,4.4309897,3.6477506,3.4269898,5.386139,0.0,4.438504,0.0,1.803291,5.544188,4.597373,0.49084657,0.0,0.0,0.0,0.0,2.8964567,1.6930234,2.7456715,0.49084657,5.725031,0.0,0.0,0.0,1.5690725,3.742193,0.0,0.0,0.0,4.24954,0.0,0.0,4.1141696,3.4269898,4.745504,0.0,0.0,0.0,0.0,4.0048647,2.5182266,0.0,3.8821287,0.0,0.0,0.0,0.0,0.0,0.81863266,0.0,3.957562,2.9308505,4.1744423,0.0,5.2156906,3.5434499,3.9695992,3.9453783
F1S4_160108_007_A01,5.016051,3.7639065,1.2257321,3.4366686,0.0,5.1467547,0.0,0.0,3.6297014,0.0,4.1426816,5.962221,0.0,0.0,0.0,0.0,3.6455338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4710436,0.0,0.0,3.5972636,0.0,0.0,0.0,0.0,5.5432386,0.0,0.0,0.0,0.0,3.735601,0.0,0.0,0.0,0.0,0.0,0.0,4.975339,0.0,3.1723402,0.0,3.0375907,5.671262,5.2560763,5.0628133,0.0,3.7064707,0.0,3.6764665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5290499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7899697,2.9470642,0.7899697,0.0,1.3883731,0.0,0.0,3.2684245,3.9067059,0.0,0.0,0.0,5.3574553,0.0,0.0,0.0,0.0,4.1616106,0.0,0.7899697,2.030555,1.7601515,4.2931924,0.0,0.0,0.0,2.030555,0.0,0.0,2.8475194,0.0,0.0,5.441707,0.0,0.0,0.0,0.0,0.0,1.9482856,0.0,0.0,0.0,0.4710436,0.0,0.0,0.0,0.0,0.0,6.394348,0.0,1.6508973,5.420635,0.0,0.0,0.0,0.0,4.356877,0.0,0.4710436,0.0,5.043594,0.0,0.0,0.0,0.0,0.0,3.6764665,3.7498538,0.0,0.0,3.9539614,0.0,1.6508973,4.2766166,4.3797503,5.1641064,2.697211,4.2339344,5.268551,4.971175,1.0314015,0.0,0.0,0.0,0.0,0.0,3.3132129,4.123388,0.0,4.6432815,0.0,0.0,0.0,3.7498538,3.9423552,0.0,0.0,0.0,4.1330814,0.0,0.0,3.9067059,0.0,4.832661,0.0,0.0,0.0,0.0,3.5806413,3.6455338,0.0,4.3175516,0.0,0.0,0.0,0.0,0.0,0.0,3.221536,0.7899697,2.9781592,0.4710436,0.0,5.1946006,4.4800763,4.4453897,3.3348765
F1S4_160108_003_H01,5.0092435,3.9729404,2.6639638,0.49216896,0.0,5.530083,3.9848351,0.0,4.426783,0.0,4.911201,6.204686,0.0,1.4301443,0.0,3.2984364,0.49216896,0.0,0.0,0.0,0.0,4.5878882,0.0,0.0,0.0,0.0,0.0,4.372113,0.0,0.0,0.0,0.0,5.2888565,0.0,0.0,0.0,0.0,4.279667,0.0,0.0,0.0,0.0,7.170168,0.0,3.5094204,0.0,2.354979,0.0,0.0,6.1640553,6.096263,5.2190776,0.0,0.0,0.0,1.6958034,0.0,3.600272,0.0,0.0,0.0,0.0,0.0,3.4902158,0.0,0.0,0.0,0.0,0.0,0.0,0.49216896,0.0,0.0,0.0,3.730383,1.4301443,0.0,1.9958704,0.0,0.0,4.305739,2.9995158,0.0,2.226372,0.0,6.1355624,0.0,0.0,0.0,0.0,0.0,0.0,1.4301443,0.0,3.2984364,4.5140653,0.0,3.58275,0.0,3.1188016,0.0,0.0,4.0310473,0.0,0.0,5.4096403,0.0,0.0,0.0,0.0,0.0,4.81803,0.0,0.0,0.0,0.0,0.0,3.667442,0.0,0.0,0.0,6.8766932,0.0,4.674591,4.743357,0.0,3.321654,0.0,0.0,3.2984364,0.0,0.8205377,0.0,4.3880405,0.0,0.0,0.0,0.0,0.0,0.0,2.9673305,0.0,0.0,5.12534,0.0,2.226372,2.1552823,5.0907307,5.12534,3.8984392,4.4713764,7.1691895,5.454145,0.0,0.0,0.0,0.0,0.0,0.0,3.4706354,4.042274,0.0,4.243812,0.0,0.0,0.0,3.7751179,3.6994076,0.0,0.0,0.0,3.9487183,0.0,0.0,3.9238946,0.0,5.4096403,0.0,0.0,0.0,0.0,0.0,1.6958034,0.0,2.8640492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6134367,3.8854642,0.0,0.0,4.726604,3.3443449,4.1874976,4.355928
F1S4_160108_009_B01,4.931343,3.2404368,1.9849827,0.0,0.0,4.9717116,4.8498406,0.0,4.4348373,0.0,5.0028725,5.71548,0.0,1.7167645,0.0,4.765974,0.4515921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4719405,0.0,0.0,2.928264,0.0,0.0,0.0,2.1962636,4.963767,0.0,0.0,0.0,0.0,3.6842475,0.0,0.0,0.0,0.0,0.0,0.0,4.1555843,3.3857641,3.8306844,0.0,5.38669,5.4475064,6.5300064,4.8363423,0.0,0.0,0.0,0.76156354,0.0,4.2575817,0.0,0.0,0.0,0.0,0.0,4.5003266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76156354,0.0,1.9849827,0.0,0.0,4.567733,2.8652546,0.0,2.9875371,0.0,4.5437436,0.0,0.0,0.0,0.0,0.0,0.0,0.76156354,4.041989,0.4515921,5.6574087,0.0,0.0,0.0,2.648205,0.0,0.0,2.6878111,0.0,0.0,5.7041326,0.0,0.0,0.0,0.0,0.0,5.454855,0.0,0.0,0.4515921,0.0,0.0,0.0,0.0,0.0,0.0,5.8070645,0.0,3.842992,0.0,0.0,0.0,0.0,0.0,2.2578144,0.0,0.0,0.0,5.381451,0.0,0.0,0.0,0.0,0.0,0.0,4.350132,0.0,0.0,3.792826,0.0,1.4872402,5.4499617,4.7263165,4.428046,4.9105306,4.7756476,4.86756,4.5066457,0.0,0.0,0.0,0.0,0.0,0.0,3.85515,5.3274937,0.4515921,4.573641,0.0,0.0,0.0,2.3705978,4.011453,0.0,0.0,0.0,3.442115,0.0,0.0,3.1219604,0.0,4.585354,0.0,0.0,0.0,0.0,3.3857641,4.751286,0.0,3.477992,0.0,0.0,0.0,0.0,0.0,4.6850204,3.423682,0.76156354,3.4049027,3.5784917,0.0,5.5435424,0.0,3.1468053,3.8671618
F1S4_160108_002_B01,4.7556953,3.5715961,3.831624,0.0,0.0,5.325732,5.1747236,0.0,4.354522,0.0,5.415061,5.699489,0.0,3.2569277,0.0,3.6982152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3612032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8998437,0.0,0.0,0.0,0.0,4.342106,0.0,0.0,0.0,0.0,0.0,0.0,5.141579,3.892198,0.0,0.0,4.0873632,4.6043515,5.3210497,3.721723,0.0,0.0,1.0718372,4.4598317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.457321,0.0,0.0,1.0718372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.758177,1.758177,0.0,1.758177,0.0,0.0,3.5715961,0.0,0.0,3.6494741,0.0,5.915508,0.0,0.0,0.0,0.0,2.7952013,3.892198,1.0718372,4.7882075,0.0,4.1345854,0.0,0.0,0.0,3.0968504,0.0,0.0,3.6494741,0.0,0.0,5.410779,0.0,0.0,0.0,0.0,0.0,5.1527495,0.0,0.0,0.0,0.0,0.0,2.8522253,0.0,0.0,0.0,6.1642046,0.0,2.04415,3.0968504,0.0,1.5772207,0.0,0.0,3.9116006,0.0,0.0,0.0,1.0718372,0.0,0.0,0.0,0.0,0.0,4.3295336,5.2530756,0.0,0.0,0.0,3.0968504,0.0,4.513875,0.0,5.277886,4.4143906,0.0,5.14718,5.2120533,0.6731334,0.0,0.0,0.0,0.0,0.0,2.3612032,2.04415,0.0,6.1682367,0.0,0.0,0.0,1.3561214,3.892198,0.0,0.0,0.0,3.9116006,0.0,0.0,3.2569277,0.0,4.2641864,0.0,0.0,0.0,0.0,0.0,1.758177,0.0,4.2228246,0.0,0.0,0.0,0.0,0.0,4.020718,0.0,4.149843,2.6015642,0.0,0.0,5.2429767,3.9306338,3.2932408,1.5772207
F1S4_160108_002_C01,2.5781145,3.4857812,2.822804,0.0,0.0,4.3986015,3.9767013,0.0,4.904497,0.0,5.598449,5.982926,0.0,0.0,0.0,0.0,3.8555512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9312077,7.197659,0.0,0.0,0.0,3.6567192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.200659,0.0,0.0,4.456739,5.6638827,4.779721,4.839249,0.0,4.6371255,0.0,4.144382,0.0,4.0847473,0.0,0.0,0.0,0.0,0.0,3.2794733,0.0,0.0,0.7962576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.591807,1.2338583,0.0,1.5372291,0.0,0.0,1.2338583,4.809928,0.0,0.0,0.0,5.693012,0.0,0.0,0.0,0.0,0.0,0.0,0.7962576,4.7694454,3.7176738,3.019236,0.0,3.183345,0.0,3.019236,0.0,0.0,3.4857812,0.0,0.0,5.307488,0.0,0.0,0.0,0.0,0.0,4.442518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3430324,0.7962576,2.822804,4.9223833,0.0,0.0,0.0,0.0,2.116661,0.0,0.0,0.0,4.6604304,0.0,0.0,0.0,0.0,0.0,4.287942,4.3986015,0.0,0.0,0.0,4.4280925,3.9057858,3.3242807,0.0,4.0213304,3.183345,0.7962576,5.518715,5.3488355,0.7962576,0.0,0.0,0.0,0.0,0.0,4.064052,4.2187357,0.7962576,2.3737721,0.0,0.0,0.0,3.557699,4.271084,0.0,0.0,0.0,3.8555512,0.0,0.0,4.1822495,0.0,3.7751253,0.0,0.0,0.0,0.0,0.0,1.2338583,0.0,3.9299874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9581406,4.200659,0.0,0.0,4.625266,3.367166,4.0847473,3.6567192
F1S4_160108_003_F01,3.868755,5.0075307,0.83918047,1.8338411,0.83918047,4.644071,2.7094495,0.0,4.329743,0.0,5.9061756,6.11725,0.0,0.0,0.0,0.0,4.125581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1121662,0.0,0.0,0.0,0.0,5.649147,0.0,0.0,0.0,0.0,4.546771,0.0,0.0,0.0,0.0,0.0,0.0,3.2228122,0.0,0.0,0.0,2.443716,5.713369,5.9424887,4.852541,0.0,0.0,0.0,1.0125552,0.0,0.36336204,0.0,0.0,0.0,0.0,0.0,2.364568,0.0,0.0,0.0,0.0,0.0,0.0,0.6293086,0.0,0.0,0.0,3.2052007,0.6293086,0.0,2.232696,0.0,0.0,4.3967013,2.9654055,0.0,3.632445,0.0,5.546915,0.0,0.0,0.0,0.0,0.0,0.0,1.402929,0.36336204,0.0,5.409785,0.0,1.5052437,0.0,3.2052007,0.0,0.0,4.6934066,0.0,0.0,6.587755,0.0,0.0,0.0,0.0,0.0,4.407438,0.0,2.793339,0.0,0.0,0.0,0.36336204,0.0,0.0,0.0,6.6227365,0.0,1.5052437,4.701398,0.0,0.0,0.0,0.0,4.596604,0.36336204,0.36336204,0.0,4.5374374,0.36336204,0.0,0.0,0.0,0.0,3.338105,4.7171907,0.0,0.0,3.1872733,3.981153,3.2571313,5.5887423,3.981153,5.203779,3.742105,3.9729414,6.7587204,5.2935395,0.0,0.0,0.0,0.0,0.0,0.0,1.9015154,3.6207874,0.0,2.1340077,0.0,0.0,0.0,3.5222855,1.160266,0.0,0.0,0.0,4.323955,0.0,0.36336204,3.6089923,0.0,5.1339746,0.0,0.0,0.0,0.0,0.36336204,3.9047036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8707325,2.7661505,0.0,2.5170565,0.0,0.0,4.5280156,3.8595624,3.9729414,2.6493394
